id,catalogue_id,gaussian_id,source_id,tile_id,sbid,obs_start_time,n_gaus,ra,dec,e_ra,e_dec,total_flux_gaussian,e_total_flux_gaussian_pybdsf,e_total_flux_gaussian,total_flux_source,e_total_flux_source_pybdsf,e_total_flux_source,peak_flux,e_peak_flux,maj,e_maj,min,e_min,pa,e_pa,dc_maj,e_dc_maj,dc_min,e_dc_min,dc_pa,e_dc_pa,s_code,separation_tile_centre,noise,gal_lon,gal_lat
2281380,4549,RACS_2211-25A_3891,RACS_2211-25A_3489,RACS_2211-25A,8576,58598.87694,1,332.834962,-21.943351,0.22,0.28,24.433,0.834,2.362,24.433,0.834,2.362,19.971,0.419,29.73,0.66,25.75,0.51,172.03,6.44,16.04,0.66,6.19,0.51,172.03,6.44,S,3.1864,0.403,32.096575,-53.374116
2281381,4549,RACS_2211-25A_3892,RACS_2211-25A_3490,RACS_2211-25A,8576,58598.87694,1,332.836235,-24.655812,1.36,1.77,3.423,0.775,1.071,3.423,0.775,1.071,3.018,0.409,29.11,4.29,24.35,3.04,160.18,33.64,0.0,4.29,0.0,3.04,0.0,33.64,S,0.474,0.4,27.660703,-54.059173
2281382,4549,RACS_2211-25A_3895,RACS_2211-25A_3493,RACS_2211-25A,8576,58598.87694,1,332.832322,-24.799684,1.03,1.21,4.494,0.716,1.084,4.494,0.716,1.084,4.121,0.385,30.34,3.27,22.47,1.82,143.43,14.5,17.19,3.27,0.0,1.82,143.43,14.5,S,0.3301,0.383,27.420178,-54.087359
2281383,4549,RACS_2211-25A_3896,RACS_2211-25A_3494,RACS_2211-25A,8576,58598.87694,1,332.831787,-27.881019,1.28,2.07,2.732,0.668,0.961,2.732,0.668,0.961,2.577,0.364,30.55,5.1,21.71,2.6,159.66,19.64,0.0,5.1,0.0,2.6,0.0,19.64,S,2.7512,0.367,22.218248,-54.648844
2281384,4549,RACS_2211-25A_3897,RACS_2211-25A_3495,RACS_2211-25A,8576,58598.87694,1,332.826672,-27.386962,0.81,0.81,3.536,0.499,0.899,3.536,0.499,0.899,3.905,0.306,25.49,2.15,22.22,1.62,135.28,24.66,0.0,2.15,0.0,1.62,0.0,24.66,S,2.2572,0.316,23.060257,-54.569389
2281385,4549,RACS_2211-25A_3899,RACS_2211-25A_3497,RACS_2211-25A,8576,58598.87694,1,332.826386,-25.364204,1.25,1.86,3.408,0.715,1.028,3.408,0.715,1.028,3.131,0.379,32.47,4.85,20.95,2.06,151.56,13.63,0.0,4.85,0.0,2.06,0.0,13.63,S,0.2344,0.385,26.476335,-54.201709
2281386,4549,RACS_2211-25A_3900,RACS_2211-25A_3498,RACS_2211-25A,8576,58598.87694,1,332.819492,-22.26599,0.1,0.09,62.598,0.878,4.96,62.598,0.878,4.96,57.055,0.476,26.95,0.23,25.47,0.21,115.63,6.07,10.06,0.23,4.75,0.21,115.63,6.07,S,2.8638,0.466,31.57001,-53.450226
2281387,4549,RACS_2211-25A_3903,RACS_2211-25A_3501,RACS_2211-25A,8576,58598.87694,1,332.818131,-23.984638,1.84,3.64,2.722,0.886,1.123,2.722,0.886,1.123,2.029,0.41,36.02,8.77,23.28,3.9,166.28,23.34,0.0,8.77,0.0,3.9,0.0,23.34,S,1.1452,0.401,28.765037,-53.889204
2281388,4549,RACS_2211-25A_3905,RACS_2211-25A_3503,RACS_2211-25A,8576,58598.87694,1,332.8102,-24.186863,0.17,0.16,25.285,0.658,2.363,25.285,0.658,2.363,24.651,0.373,26.2,0.41,24.47,0.36,125.83,9.32,7.83,0.41,0.0,0.36,125.83,9.32,S,0.9431,0.371,28.428439,-53.929622
2281389,4549,RACS_2211-25A_3906,RACS_2211-25A_3504,RACS_2211-25A,8576,58598.87694,1,332.81226,-24.023311,0.52,0.61,9.675,0.775,1.409,9.675,0.775,1.409,8.483,0.407,29.7,1.57,24.01,1.04,146.58,10.17,16.03,1.57,0.0,1.04,146.58,10.17,S,1.1066,0.398,28.699123,-53.893139
2281390,4549,RACS_2211-25A_3907,RACS_2211-25A_3505,RACS_2211-25A,8576,58598.87694,1,332.813086,-25.598486,1.1,1.59,3.898,0.736,1.068,3.898,0.736,1.068,3.42,0.385,30.6,3.92,23.28,2.31,158.63,19.1,0.0,3.92,0.0,2.31,0.0,19.1,S,0.469,0.379,26.079787,-54.237431
2281391,4549,RACS_2211-25A_3908,RACS_2211-25A_3506,RACS_2211-25A,8576,58598.87694,4,332.803221,-23.778666,0.02,0.02,245.608,0.898,17.715,565.655,2.236,40.158,226.159,0.491,26.33,0.06,25.79,0.06,169.21,4.39,8.23,0.06,6.33,0.06,169.21,4.39,M,1.3513,0.481,29.098591,-53.826681
