id,catalogue_id,gaussian_id,source_id,tile_id,sbid,obs_start_time,n_gaus,ra,dec,e_ra,e_dec,total_flux_gaussian,e_total_flux_gaussian_pybdsf,e_total_flux_gaussian,total_flux_source,e_total_flux_source_pybdsf,e_total_flux_source,peak_flux,e_peak_flux,maj,e_maj,min,e_min,pa,e_pa,dc_maj,e_dc_maj,dc_min,e_dc_min,dc_pa,e_dc_pa,s_code,separation_tile_centre,noise,gal_lon,gal_lat
2225051,4549,RACS_2138-31A_1378,RACS_2138-31A_1241,RACS_2138-31A,8595,58603.02228,1,328.197828,-28.965753,1.56,1.86,4.45,1.058,1.333,4.45,1.058,1.333,3.804,0.546,30.05,4.76,24.38,3.18,29.65,28.93,16.68,4.76,0.0,3.18,29.65,28.93,S,3.8696,0.532,19.466624,-50.77455
2225052,4549,RACS_2138-31A_1392,RACS_2138-31A_1253,RACS_2138-31A,8595,58603.02228,1,328.179189,-29.100347,0.4,0.44,12.271,0.841,1.598,12.271,0.841,1.598,12.278,0.485,25.7,1.04,24.36,0.94,173.2,28.75,0.0,1.04,0.0,0.94,0.0,28.75,S,3.7724,0.486,19.252287,-50.777904
2225061,4549,RACS_2138-31A_1423,RACS_2138-31A_1281,RACS_2138-31A,8595,58603.02228,1,328.144305,-29.170449,2.63,2.55,3.676,1.088,1.326,3.676,1.088,1.326,2.389,0.466,32.55,6.6,29.6,5.55,48.87,84.63,20.84,6.6,15.77,5.55,48.87,84.63,S,3.7053,0.434,19.135706,-50.757753
2225070,4549,RACS_2138-31A_1438,RACS_2138-31A_1297,RACS_2138-31A,8595,58603.02228,2,328.086603,-28.78163,0.25,0.22,47.629,1.592,4.151,60.055,2.743,5.445,40.884,0.828,28.03,0.59,26.04,0.51,68.92,9.79,12.64,0.59,7.13,0.51,68.92,9.79,M,3.9171,0.802,19.731372,-50.65092
2225071,4549,RACS_2138-31A_1439,RACS_2138-31A_1297,RACS_2138-31A,8595,58603.02228,2,328.094218,-28.769337,1.46,2.19,12.426,2.234,2.621,60.055,2.743,5.445,6.987,0.856,39.04,5.36,28.54,3.12,17.66,17.33,29.98,5.36,13.68,3.12,17.66,17.33,M,3.9304,0.802,19.752126,-50.655666
2225073,4549,RACS_2138-31A_1443,RACS_2138-31A_1301,RACS_2138-31A,8595,58603.02228,1,328.105891,-29.326993,1.45,1.84,3.556,0.857,1.138,3.556,0.857,1.138,3.16,0.456,28.32,4.34,24.89,3.38,7.66,46.23,0.0,4.34,0.0,3.38,0.0,46.23,S,3.5847,0.445,18.883285,-50.746576
2225075,4549,RACS_2138-31A_1445,RACS_2138-31A_1303,RACS_2138-31A,8595,58603.02228,1,328.098238,-29.271289,1.68,2.43,2.085,0.722,0.969,2.085,0.722,0.969,2.219,0.431,26.9,5.82,21.88,3.82,11.93,39.92,0.0,5.82,0.0,3.82,0.0,39.92,S,3.6123,0.442,18.968971,-50.732188
2225085,4549,RACS_2138-31A_1469,RACS_2138-31A_1326,RACS_2138-31A,8595,58603.02228,1,328.075323,-29.357273,1.42,1.72,2.383,0.657,0.936,2.383,0.657,0.936,2.7,0.408,25.98,4.37,21.27,2.89,29.02,31.52,0.0,4.37,0.0,2.89,0.0,31.52,S,3.5454,0.426,18.83006,-50.724391
2225095,4549,RACS_2138-31A_1493,RACS_2138-31A_1347,RACS_2138-31A,8595,58603.02228,1,328.030654,-29.187545,1.76,1.92,2.471,0.759,1.015,2.471,0.759,1.015,2.572,0.449,25.88,4.78,23.25,3.84,30.8,66.58,0.0,4.78,0.0,3.84,0.0,66.58,S,3.6165,0.455,19.086692,-50.661965
2225100,4549,RACS_2138-31A_1500,RACS_2138-31A_1354,RACS_2138-31A,8595,58603.02228,1,328.010372,-28.954812,0.07,0.07,96.027,1.079,7.302,96.027,1.079,7.302,89.921,0.596,26.26,0.18,25.47,0.17,80.84,7.35,7.95,0.18,4.74,0.17,80.84,7.35,S,3.7518,0.587,19.445718,-50.610704
2225135,4549,RACS_2138-31A_1551,RACS_2138-31A_1397,RACS_2138-31A,8595,58603.02228,1,327.952067,-28.830698,1.44,2.37,5.118,1.337,1.589,5.118,1.337,1.589,4.298,0.679,31.33,5.61,23.8,3.32,7.4,25.06,0.0,5.61,0.0,3.32,0.0,25.06,S,3.7973,0.663,19.627019,-50.541754
2225162,4549,RACS_2138-31A_1595,RACS_2138-31A_1441,RACS_2138-31A,8595,58603.02228,1,327.874852,-29.046985,1.19,1.73,4.033,0.906,1.197,4.033,0.906,1.197,3.886,0.506,28.69,4.19,22.66,2.62,16.41,23.3,0.0,4.19,0.0,2.62,0.0,23.3,S,3.6019,0.506,19.274812,-50.506991
2225173,4549,RACS_2138-31A_1613,RACS_2138-31A_1457,RACS_2138-31A,8595,58603.02228,1,327.849679,-29.059428,2.95,3.45,7.444,1.604,1.901,7.444,1.604,1.901,3.231,0.499,53.2,10.13,27.11,3.4,37.87,12.18,46.97,10.13,10.38,3.4,37.87,12.18,S,3.5772,0.494,19.250405,-50.487042
2225181,4549,RACS_2138-31A_1623,RACS_2138-31A_1467,RACS_2138-31A,8595,58603.02228,1,327.831062,-28.714447,2.67,2.61,6.119,1.98,2.187,6.119,1.98,2.187,4.403,0.91,31.79,7.0,27.39,5.31,45.81,58.69,19.64,7.0,11.06,5.31,45.81,58.69,S,3.8025,0.859,19.782283,-50.419269
2225191,4549,RACS_2138-31A_1652,RACS_2138-31A_1493,RACS_2138-31A,8595,58603.02228,1,327.795496,-28.937254,1.67,1.59,6.365,1.343,1.642,6.365,1.343,1.642,4.877,0.645,30.65,4.29,26.67,3.33,127.96,40.67,17.65,4.29,9.29,3.33,127.96,40.67,S,3.6244,0.614,19.429213,-50.422146
2225194,4549,RACS_2138-31A_1655,RACS_2138-31A_1496,RACS_2138-31A,8595,58603.02228,1,327.798906,-29.088754,1.63,1.84,3.706,0.897,1.175,3.706,0.897,1.175,3.08,0.457,28.37,4.34,26.56,3.82,170.21,92.97,13.37,4.34,8.9,3.82,170.21,92.97,S,3.5245,0.439,19.19465,-50.447422
2225238,4549,RACS_2138-31A_1756,RACS_2138-31A_1590,RACS_2138-31A,8595,58603.02228,1,327.631588,-28.811292,1.86,2.04,3.103,0.97,1.206,3.103,0.97,1.206,3.051,0.553,25.99,4.85,24.51,4.32,161.14,130.19,0.0,4.85,0.0,4.32,0.0,130.19,S,3.6112,0.551,19.590435,-50.26127
2225254,4549,RACS_2138-31A_1785,RACS_2138-31A_1614,RACS_2138-31A,8595,58603.02228,1,327.598314,-28.870785,1.58,3.29,4.509,1.232,1.478,4.509,1.232,1.478,3.074,0.537,37.57,7.81,24.45,3.59,170.68,19.23,0.0,7.81,0.0,3.59,0.0,19.23,S,3.5482,0.518,19.491547,-50.241501
2225259,4549,RACS_2138-31A_1798,RACS_2138-31A_1625,RACS_2138-31A,8595,58603.02228,1,327.582132,-28.871084,1.87,1.86,3.366,0.973,1.22,3.366,0.973,1.22,3.191,0.541,26.78,4.72,24.67,4.03,132.7,87.69,9.47,4.72,0.0,4.03,132.7,87.69,S,3.5381,0.535,19.48773,-50.227539
2240337,4549,RACS_2144-25A_1461,RACS_2144-25A_1312,RACS_2144-25A,8576,58598.86623,3,329.420407,-23.18643,0.14,0.1,40.619,0.658,3.408,72.538,1.057,5.677,32.317,0.324,30.74,0.33,25.61,0.24,102.58,1.14,17.82,0.33,5.52,0.24,102.58,1.14,M,3.647,0.311,28.763877,-50.674744
2240338,4549,RACS_2144-25A_1462,RACS_2144-25A_1312,RACS_2144-25A,8576,58598.86623,3,329.425789,-23.184188,0.18,0.16,25.453,0.617,2.364,72.538,1.057,5.677,21.849,0.321,27.7,0.42,26.34,0.38,96.64,11.11,11.84,0.42,8.26,0.38,96.64,11.11,M,3.6524,0.311,28.769322,-50.678938
2240339,4549,RACS_2144-25A_1463,RACS_2144-25A_1312,RACS_2144-25A,8576,58598.86623,3,329.420908,-23.200847,0.57,0.51,6.466,0.551,1.1,72.538,1.057,5.677,6.306,0.312,27.21,1.44,23.6,1.09,122.01,13.91,0.0,1.44,0.0,1.09,0.0,13.91,M,3.6396,0.311,28.742096,-50.678934
2240340,4549,RACS_2144-25A_1480,RACS_2144-25A_1327,RACS_2144-25A,8576,58598.86623,1,329.416793,-23.665084,1.4,2.06,2.415,0.515,0.844,2.415,0.515,0.844,2.16,0.264,34.99,5.56,20.01,1.88,147.39,9.96,0.0,5.56,0.0,1.88,0.0,9.96,S,3.4079,0.273,28.031305,-50.793669
2240341,4549,RACS_2144-25A_1481,RACS_2144-25A_1328,RACS_2144-25A,8576,58598.86623,1,329.382031,-22.571746,0.06,0.07,61.39,0.626,4.838,61.39,0.626,4.838,56.175,0.34,27.37,0.17,25.02,0.15,159.61,1.6,11.04,0.17,0.0,0.15,159.61,1.6,S,3.987,0.334,29.682117,-50.477137
2240342,4549,RACS_2144-25A_1490,RACS_2144-25A_1336,RACS_2144-25A,8576,58598.86623,2,329.401357,-23.89516,0.06,0.06,54.283,0.515,4.331,76.76,0.797,5.927,49.425,0.279,26.81,0.15,25.65,0.14,144.78,3.99,9.61,0.15,5.66,0.14,144.78,3.99,M,3.3,0.273,27.672994,-50.837063
2240343,4549,RACS_2144-25A_1491,RACS_2144-25A_1336,RACS_2144-25A,8576,58598.86623,2,329.394836,-23.901322,0.22,0.2,22.477,0.607,2.161,76.76,0.797,5.927,16.932,0.289,29.58,0.51,28.09,0.47,108.22,12.85,15.75,0.51,12.81,0.47,108.22,12.85,M,3.2921,0.273,27.661217,-50.832798
2240344,4549,RACS_2144-25A_1492,RACS_2144-25A_1337,RACS_2144-25A,8576,58598.86623,1,329.389889,-23.195608,1.51,2.96,2.879,0.693,0.986,2.879,0.693,0.986,2.139,0.314,39.17,7.42,21.52,2.45,157.11,11.87,0.0,7.42,0.0,2.45,0.0,11.87,S,3.6185,0.316,28.738395,-50.65004
2240345,4549,RACS_2144-25A_1496,RACS_2144-25A_1341,RACS_2144-25A,8576,58598.86623,2,329.41657,-24.495872,0.19,0.2,15.238,0.459,1.632,29.167,0.708,2.639,14.572,0.257,26.52,0.48,24.68,0.42,139.64,8.94,8.79,0.48,0.0,0.42,139.64,8.94,M,3.1316,0.254,26.753225,-50.994523
2240346,4549,RACS_2144-25A_1497,RACS_2144-25A_1341,RACS_2144-25A,8576,58598.86623,2,329.41263,-24.491322,0.31,0.3,13.929,0.54,1.571,29.167,0.708,2.639,11.01,0.263,32.49,0.88,24.38,0.51,131.08,2.51,20.71,0.88,0.0,0.51,131.08,2.51,M,3.1291,0.254,26.758924,-50.989973
2240347,4549,RACS_2144-25A_1503,RACS_2144-25A_1346,RACS_2144-25A,8576,58598.86623,1,329.387379,-23.567671,1.17,1.25,2.922,0.518,0.875,2.922,0.518,0.875,2.627,0.278,28.57,3.25,24.37,2.39,140.49,28.06,13.76,3.25,0.0,2.39,140.49,28.06,S,3.4281,0.272,28.16967,-50.743097
2240348,4549,RACS_2144-25A_1506,RACS_2144-25A_1349,RACS_2144-25A,8576,58598.86623,1,329.354102,-22.847157,0.11,0.11,36.848,0.588,3.135,36.848,0.588,3.135,31.519,0.305,27.51,0.27,26.62,0.25,70.57,10.55,11.44,0.27,9.04,0.25,70.57,10.55,S,3.7932,0.295,29.254215,-50.526529
2240349,4549,RACS_2144-25A_1513,RACS_2144-25A_1357,RACS_2144-25A,8576,58598.86623,1,329.357435,-23.220197,0.93,1.23,4.206,0.638,1.019,4.206,0.638,1.019,3.548,0.327,29.51,2.93,25.16,2.16,168.37,24.11,15.64,2.93,2.56,2.16,168.37,24.11,S,3.5801,0.317,28.688744,-50.627618
2240350,4549,RACS_2144-25A_1514,RACS_2144-25A_1358,RACS_2144-25A,8576,58598.86623,1,329.41628,-25.458377,0.69,0.84,5.26,0.581,1.045,5.26,0.581,1.045,4.749,0.311,29.6,2.16,23.42,1.37,146.91,11.17,15.85,2.16,0.0,1.37,146.91,11.17,S,3.0722,0.306,25.259144,-51.209599
2240351,4549,RACS_2144-25A_1515,RACS_2144-25A_1359,RACS_2144-25A,8576,58598.86623,1,329.390806,-24.460415,1.56,2.38,1.335,0.413,0.723,1.335,0.413,0.723,1.433,0.243,29.41,6.12,19.83,2.74,152.31,19.15,0.0,6.12,0.0,2.74,0.0,19.15,S,3.1166,0.255,26.799265,-50.963429
2240352,4549,RACS_2144-25A_1516,RACS_2144-25A_1360,RACS_2144-25A,8576,58598.86623,1,329.37503,-24.0579,0.13,0.12,22.575,0.456,2.13,22.575,0.456,2.13,22.487,0.263,25.48,0.3,24.66,0.28,129.6,13.8,0.0,0.3,0.0,0.28,0.0,13.8,S,3.2182,0.262,27.413755,-50.853473
2240353,4549,RACS_2144-25A_1519,RACS_2144-25A_1363,RACS_2144-25A,8576,58598.86623,1,329.426305,-26.001293,0.86,1.37,4.271,0.543,0.966,4.271,0.543,0.966,3.148,0.249,36.41,3.48,23.32,1.52,153.74,7.48,26.48,3.48,0.0,1.52,153.74,7.48,S,3.1785,0.243,24.413377,-51.331437
2240354,4549,RACS_2144-25A_1525,RACS_2144-25A_1368,RACS_2144-25A,8576,58598.86623,1,329.326565,-22.53229,0.3,0.32,12.192,0.586,1.475,12.192,0.586,1.475,11.477,0.325,26.77,0.78,24.86,0.68,147.47,15.22,9.43,0.78,0.0,0.68,147.47,15.22,S,3.9743,0.32,29.719809,-50.417098
2240355,4549,RACS_2144-25A_1526,RACS_2144-25A_1369,RACS_2144-25A,8576,58598.86623,1,329.391145,-25.065632,0.84,0.81,3.59,0.506,0.906,3.59,0.506,0.906,3.875,0.306,25.8,2.19,22.48,1.65,129.78,23.34,0.0,2.19,0.0,1.65,0.0,23.34,S,3.0374,0.313,25.862384,-51.101834
2240356,4549,RACS_2144-25A_1527,RACS_2144-25A_1370,RACS_2144-25A,8576,58598.86623,1,329.327442,-22.671061,0.98,3.12,5.466,0.901,1.261,5.466,0.901,1.261,2.788,0.313,51.01,7.4,24.07,2.09,170.8,7.76,0.0,7.4,0.0,2.09,0.0,7.76,S,3.8844,0.315,29.510471,-50.455567
2240357,4549,RACS_2144-25A_1530,RACS_2144-25A_1373,RACS_2144-25A,8576,58598.86623,1,329.346684,-23.671452,2.33,2.0,3.231,0.666,0.985,3.231,0.666,0.985,2.051,0.274,40.99,6.73,24.06,2.61,127.81,12.1,32.45,6.73,0.0,2.61,127.81,12.1,S,3.3475,0.267,27.996139,-50.733098
2240358,4549,RACS_2144-25A_1531,RACS_2144-25A_1374,RACS_2144-25A,8576,58598.86623,2,329.376768,-24.895435,0.1,0.1,31.734,0.499,2.767,58.633,0.708,4.658,30.539,0.281,26.06,0.24,24.95,0.22,151.16,7.21,7.34,0.24,0.0,0.22,151.16,7.21,M,3.0349,0.278,26.121767,-51.051049
2240359,4549,RACS_2144-25A_1532,RACS_2144-25A_1374,RACS_2144-25A,8576,58598.86623,2,329.378811,-24.886666,0.11,0.12,26.899,0.502,2.435,58.633,0.708,4.658,25.714,0.281,26.42,0.3,24.79,0.26,151.04,5.7,8.5,0.3,0.0,0.26,151.04,5.7,M,3.0375,0.278,26.13602,-51.050877
2240360,4549,RACS_2144-25A_1533,RACS_2144-25A_1375,RACS_2144-25A,8576,58598.86623,1,329.38768,-25.181331,0.93,1.2,4.65,0.674,1.066,4.65,0.674,1.066,3.89,0.343,30.69,3.0,24.38,1.93,152.64,15.94,17.79,3.0,0.0,1.93,152.64,15.94,S,3.0326,0.333,25.681532,-51.124322
2240361,4549,RACS_2144-25A_1535,RACS_2144-25A_1377,RACS_2144-25A,8576,58598.86623,1,329.336945,-23.277587,1.91,1.6,1.702,0.477,0.781,1.702,0.477,0.781,1.714,0.275,27.56,4.87,22.55,3.28,119.7,34.5,0.0,4.87,0.0,3.28,0.0,34.5,S,3.5333,0.277,28.593681,-50.624286
2240362,4549,RACS_2144-25A_1537,RACS_2144-25A_1379,RACS_2144-25A,8576,58598.86623,1,329.351644,-24.088024,1.4,1.87,1.788,0.454,0.772,1.788,0.454,0.772,1.792,0.259,28.75,4.77,21.73,2.73,150.69,22.4,0.0,4.77,0.0,2.73,0.0,22.4,S,3.1878,0.263,27.359273,-50.840056
2240363,4549,RACS_2144-25A_1538,RACS_2144-25A_1380,RACS_2144-25A,8576,58598.86623,3,329.411507,-26.594549,0.05,0.08,113.382,0.834,8.478,160.995,1.152,11.826,72.35,0.35,36.36,0.2,26.98,0.12,165.54,179.26,26.4,0.2,10.05,0.12,165.54,179.26,M,3.3706,0.33,23.477122,-51.434867
2240364,4549,RACS_2144-25A_1539,RACS_2144-25A_1380,RACS_2144-25A,8576,58598.86623,3,329.413906,-26.602262,0.13,0.13,30.968,0.614,2.738,160.995,1.152,11.826,28.605,0.336,26.39,0.31,25.69,0.3,65.25,17.53,8.32,0.31,5.89,0.3,65.25,17.53,M,3.3758,0.33,23.465628,-51.438439
2240365,4549,RACS_2144-25A_1540,RACS_2144-25A_1380,RACS_2144-25A,8576,58598.86623,3,329.410492,-26.5903,0.18,0.15,16.645,0.505,1.74,160.995,1.152,11.826,18.997,0.318,24.65,0.43,22.26,0.35,77.24,5.55,0.0,0.43,0.0,0.35,0.0,5.55,M,3.3679,0.33,23.483537,-51.433169
2240366,4549,RACS_2144-25A_1541,RACS_2144-25A_1381,RACS_2144-25A,8576,58598.86623,1,329.347091,-24.027752,1.15,1.88,2.696,0.508,0.856,2.696,0.508,0.856,2.327,0.256,34.8,4.86,20.84,1.81,152.31,9.62,0.0,4.86,0.0,1.81,0.0,9.62,S,3.2048,0.26,27.450249,-50.821399
2240367,4549,RACS_2144-25A_1542,RACS_2144-25A_1382,RACS_2144-25A,8576,58598.86623,1,329.353947,-24.399368,0.47,0.59,5.78,0.452,1.011,5.78,0.452,1.011,5.192,0.242,28.36,1.42,24.57,1.07,161.4,12.75,0.0,1.42,0.0,1.07,0.0,12.75,S,3.0985,0.237,26.880913,-50.916462
2240368,4549,RACS_2144-25A_1543,RACS_2144-25A_1383,RACS_2144-25A,8576,58598.86623,1,329.400401,-26.138852,0.27,0.33,10.614,0.465,1.327,10.614,0.465,1.327,9.714,0.251,29.4,0.85,23.26,0.54,146.01,3.5,15.47,0.85,0.0,0.54,146.01,3.5,S,3.1951,0.248,24.190213,-51.336303
2240369,4549,RACS_2144-25A_1545,RACS_2144-25A_1385,RACS_2144-25A,8576,58598.86623,1,329.366121,-25.0126,0.35,0.37,9.451,0.533,1.278,9.451,0.533,1.278,9.058,0.299,26.43,0.9,24.71,0.79,144.88,19.08,8.53,0.9,0.0,0.79,144.88,19.08,S,3.017,0.296,25.936656,-51.067927
2240370,4549,RACS_2144-25A_1546,RACS_2144-25A_1386,RACS_2144-25A,8576,58598.86623,1,329.429164,-27.470117,0.71,0.67,13.573,0.845,1.679,13.573,0.845,1.679,8.211,0.336,42.39,2.14,24.43,0.81,131.32,2.45,34.23,2.14,0.0,0.81,131.32,2.45,S,3.8364,0.327,22.09767,-51.608589
2240371,4549,RACS_2144-25A_1547,RACS_2144-25A_1387,RACS_2144-25A,8576,58598.86623,1,329.330434,-23.847827,1.25,2.68,1.42,0.422,0.733,1.42,0.422,0.733,1.472,0.24,31.26,6.5,19.32,2.47,163.41,15.39,0.0,6.5,0.0,2.47,0.0,15.39,S,3.259,0.253,27.720298,-50.762546
2240372,4549,RACS_2144-25A_1549,RACS_2144-25A_1389,RACS_2144-25A,8576,58598.86623,1,329.40607,-26.76019,1.19,1.49,2.548,0.476,0.828,2.548,0.476,0.828,2.292,0.252,30.91,3.96,22.51,2.13,145.13,14.73,18.18,3.96,0.0,2.13,145.13,14.73,S,3.4396,0.251,23.214629,-51.46129
2240373,4549,RACS_2144-25A_1550,RACS_2144-25A_1390,RACS_2144-25A,8576,58598.86623,1,329.388759,-26.166113,1.31,1.79,1.572,0.389,0.723,1.572,0.389,0.723,1.716,0.232,28.78,4.72,19.93,2.22,147.74,15.83,0.0,4.72,0.0,2.22,0.0,15.83,S,3.1935,0.243,24.144121,-51.331499
2240374,4549,RACS_2144-25A_1551,RACS_2144-25A_1391,RACS_2144-25A,8576,58598.86623,1,329.361624,-25.497985,3.67,3.33,4.024,0.945,1.226,4.024,0.945,1.226,1.705,0.289,53.27,11.01,27.72,3.86,130.01,14.02,47.03,11.01,11.93,3.86,130.01,14.02,S,3.0271,0.285,25.180597,-51.169851
2240375,4549,RACS_2144-25A_1553,RACS_2144-25A_1393,RACS_2144-25A,8576,58598.86623,1,329.406813,-27.238362,1.77,1.25,7.854,1.05,1.485,7.854,1.05,1.485,3.804,0.361,41.75,4.37,30.97,2.66,110.06,13.91,33.43,4.37,18.23,2.66,110.06,13.91,S,3.6857,0.336,22.459365,-51.548735
2240376,4549,RACS_2144-25A_1554,RACS_2144-25A_1394,RACS_2144-25A,8576,58598.86623,1,329.368355,-25.966958,0.16,0.17,16.769,0.452,1.734,16.769,0.452,1.734,16.991,0.263,25.69,0.41,24.04,0.36,145.44,8.12,0.0,0.41,0.0,0.36,0.0,8.12,S,3.1193,0.264,24.450243,-51.273461
2240377,4549,RACS_2144-25A_1556,RACS_2144-25A_1396,RACS_2144-25A,8576,58598.86623,1,329.389454,-26.875357,0.37,0.36,10.432,0.552,1.349,10.432,0.552,1.349,9.128,0.291,27.91,0.93,25.64,0.79,128.39,14.2,12.39,0.93,5.53,0.79,128.39,14.2,S,3.4814,0.283,23.028561,-51.46807
2240378,4549,RACS_2144-25A_1558,RACS_2144-25A_1398,RACS_2144-25A,8576,58598.86623,1,329.30011,-23.462598,1.3,1.18,2.582,0.505,0.847,2.582,0.505,0.847,2.557,0.288,27.58,3.4,22.93,2.36,125.67,25.88,0.0,3.4,0.0,2.36,0.0,25.88,S,3.4087,0.289,28.298088,-50.639051
2240379,4549,RACS_2144-25A_1562,RACS_2144-25A_1402,RACS_2144-25A,8576,58598.86623,3,329.395968,-27.445421,0.25,0.4,23.659,0.872,2.326,69.77,1.492,5.587,15.519,0.374,35.09,0.94,27.21,0.59,173.63,2.86,24.61,0.94,10.65,0.59,173.63,2.86,M,3.7981,0.352,22.128689,-51.575329
2240380,4549,RACS_2144-25A_1563,RACS_2144-25A_1402,RACS_2144-25A,8576,58598.86623,3,329.394289,-27.447543,1.36,0.56,14.204,0.963,1.778,69.77,1.492,5.587,7.423,0.334,54.55,3.38,21.97,0.72,68.97,1.62,48.46,3.38,0.0,0.72,68.97,1.62,M,3.7981,0.352,22.124913,-51.574226
2240381,4549,RACS_2144-25A_1564,RACS_2144-25A_1402,RACS_2144-25A,8576,58598.86623,3,329.391602,-27.449631,0.15,0.19,31.907,0.733,2.83,69.77,1.492,5.587,25.871,0.365,30.47,0.47,25.35,0.33,162.45,1.85,17.41,0.47,3.93,0.33,162.45,1.85,M,3.7975,0.352,22.120943,-51.572236
2240382,4549,RACS_2144-25A_1565,RACS_2144-25A_1403,RACS_2144-25A,8576,58598.86623,1,329.414507,-27.764474,2.84,2.4,1.843,0.6,0.869,1.843,0.6,0.869,1.544,0.3,33.87,8.02,22.09,3.52,126.36,20.86,22.85,8.02,0.0,3.52,126.36,20.86,S,4.0099,0.299,21.626736,-51.645318
2240383,4549,RACS_2144-25A_1567,RACS_2144-25A_1405,RACS_2144-25A,8576,58598.86623,1,329.26816,-22.635277,0.07,0.07,44.152,0.519,3.628,44.152,0.519,3.628,43.816,0.298,25.49,0.18,24.77,0.17,145.2,9.15,0.0,0.18,0.0,0.17,0.0,9.15,S,3.8659,0.298,29.541303,-50.393216
2240384,4549,RACS_2144-25A_1569,RACS_2144-25A_1407,RACS_2144-25A,8576,58598.86623,1,329.364707,-26.289973,2.57,1.99,1.325,0.441,0.739,1.325,0.441,0.739,1.258,0.242,30.03,6.75,21.96,3.63,120.0,27.31,0.0,6.75,0.0,3.63,0.0,27.31,S,3.2141,0.244,23.942967,-51.334863
2240385,4549,RACS_2144-25A_1570,RACS_2144-25A_1408,RACS_2144-25A,8576,58598.86623,1,329.382477,-27.075569,0.4,0.54,11.789,0.714,1.505,11.789,0.714,1.505,9.127,0.344,31.69,1.32,25.52,0.87,158.03,6.33,19.48,1.32,4.91,0.87,158.03,6.33,S,3.5785,0.33,22.710618,-51.498416
2240386,4549,RACS_2144-25A_1571,RACS_2144-25A_1409,RACS_2144-25A,8576,58598.86623,1,329.382048,-27.231067,0.74,0.97,15.348,1.094,1.917,15.348,1.094,1.917,6.949,0.357,43.21,2.44,32.01,1.5,151.02,6.83,35.24,2.44,19.93,1.5,151.02,6.83,S,3.6634,0.334,22.464659,-51.525773
2240387,4549,RACS_2144-25A_1572,RACS_2144-25A_1410,RACS_2144-25A,8576,58598.86623,1,329.299328,-24.112162,1.58,1.47,1.777,0.441,0.764,1.777,0.441,0.764,1.852,0.259,27.4,4.29,21.92,2.74,128.87,26.89,0.0,4.29,0.0,2.74,0.0,26.89,S,3.1347,0.264,27.303919,-50.799554
2240388,4549,RACS_2144-25A_1573,RACS_2144-25A_1411,RACS_2144-25A,8576,58598.86623,1,329.339606,-25.732775,0.3,0.3,8.57,0.433,1.182,8.57,0.433,1.182,9.109,0.26,25.2,0.75,23.36,0.64,132.65,14.28,0.0,0.75,0.0,0.64,0.0,14.28,S,3.0422,0.265,24.807756,-51.199929
2240389,4549,RACS_2144-25A_1574,RACS_2144-25A_1412,RACS_2144-25A,8576,58598.86623,1,329.38355,-27.200721,1.35,1.89,2.601,0.629,0.928,2.601,0.629,0.928,2.392,0.341,28.93,4.56,23.54,3.03,161.98,29.26,0.0,4.56,0.0,3.03,0.0,29.26,S,3.6475,0.337,22.513041,-51.521716
2240390,4549,RACS_2144-25A_1581,RACS_2144-25A_1417,RACS_2144-25A,8576,58598.86623,1,329.277951,-23.59426,0.66,0.74,5.336,0.51,1.012,5.336,0.51,1.012,4.522,0.261,30.52,1.96,24.2,1.26,141.13,10.1,17.46,1.96,0.0,1.26,141.13,10.1,S,3.327,0.255,28.089113,-50.652756
2240391,4549,RACS_2144-25A_1583,RACS_2144-25A_1419,RACS_2144-25A,8576,58598.86623,2,329.26577,-23.364491,0.13,0.13,44.887,0.691,3.707,56.717,0.919,4.564,31.905,0.313,34.26,0.38,25.71,0.22,135.87,0.34,23.38,0.38,5.99,0.22,135.87,0.34,M,3.4319,0.298,28.434856,-50.583504
2240392,4549,RACS_2144-25A_1584,RACS_2144-25A_1419,RACS_2144-25A,8576,58598.86623,2,329.261445,-23.357252,0.43,0.3,11.83,0.606,1.46,56.717,0.919,4.564,9.87,0.308,30.13,1.02,24.91,0.71,93.16,6.08,0.0,1.02,0.0,0.71,0.0,6.08,M,3.4323,0.298,28.444269,-50.577808
2240393,4549,RACS_2144-25A_1586,RACS_2144-25A_1421,RACS_2144-25A,8576,58598.86623,1,329.377977,-27.362259,2.0,2.63,1.833,0.614,0.879,1.833,0.614,0.879,1.649,0.328,29.59,6.58,23.52,4.18,153.1,37.39,0.0,6.58,0.0,4.18,0.0,37.39,S,3.7359,0.323,22.255995,-51.545211
2240394,4549,RACS_2144-25A_1587,RACS_2144-25A_1422,RACS_2144-25A,8576,58598.86623,1,329.258862,-23.055022,1.01,2.3,3.634,0.654,0.999,3.634,0.654,0.999,2.521,0.286,39.18,5.52,23.03,2.1,166.03,10.03,0.0,5.52,0.0,2.1,0.0,10.03,S,3.5985,0.281,28.902493,-50.496993
2240395,4549,RACS_2144-25A_1594,RACS_2144-25A_1429,RACS_2144-25A,8576,58598.86623,1,329.253727,-23.426475,0.73,0.91,7.465,0.662,1.218,7.465,0.662,1.218,5.268,0.295,37.26,2.51,23.81,1.11,142.86,5.1,27.6,2.51,0.0,1.11,142.86,5.1,S,3.3903,0.287,28.336028,-50.588691
